UF,Ano,Casos Notif,Curados,Óbitos,Outros Fins,População,Popul 0 à 4,Vacinas,Internações,Permanência,Gastos,Região
Rondônia,2008,564,428,8,128,1616992,157101,29397,65,876,6302.72,Norte
Acre,2008,314,266,9,39,705635,89775,22433,112,1298,33934.63,Norte
Amazonas,2008,2688,1952,89,647,3463562,420024,94189,295,3035,177027.78,Norte
Roraima,2008,155,127,5,23,440533,54297,10498,37,381,8248.71,Norte
Pará,2008,3790,2711,106,973,7402515,838448,211870,430,6069,341201.2,Norte
Amapá,2008,266,179,6,81,651977,84275,18521,71,947,8932.76,Norte
Tocantins,2008,207,154,3,50,1376898,144724,27181,122,1056,63508.7,Norte
Maranhão,2008,2464,1935,64,465,6458789,760173,184137,276,3817,120668.35,Nordeste
Piauí,2008,1224,774,38,412,3106597,303665,56886,177,1497,94573.81,Nordeste
Ceará,2008,4473,3357,142,974,8412055,781383,148855,662,7455,1053825.8,Nordeste
Rio Grande do Norte,2008,1211,842,51,318,3186891,287200,54529,363,6747,485588.7,Nordeste
Paraíba,2008,1324,849,41,434,3751507,345258,76808,561,9729,776069.38,Nordeste
Pernambuco,2008,4995,3303,228,1464,8825549,813301,166764,1729,29138,3135701.31,Nordeste
Alagoas,2008,1408,1021,49,338,3177975,336215,59180,190,2065,88752.09,Nordeste
Sergipe,2008,695,509,29,157,2066358,198764,39484,39,297,20425.16,Nordeste
Bahia,2008,6667,4808,177,1682,14558148,1303314,241544,934,18936,1142585.24,Nordeste
Minas Gerais,2008,5188,3895,204,1089,19794278,1532612,276076,1394,21222,2069895.84,Sudeste
Espírito Santo,2008,1537,1243,52,242,3598524,288702,54172,153,1943,195056.44,Sudeste
Rio de Janeiro,2008,14676,8978,646,5052,15859866,1137134,238283,2420,47009,1983055.48,Sudeste
São Paulo,2008,18452,14108,538,3806,41651651,3165935,631346,2795,44317,3758718.74,Sudeste
Paraná,2008,2991,2176,107,708,10540407,830087,157694,1977,25009,2833212.06,Sul
Santa Catarina,2008,2022,1420,73,529,6164049,450889,86260,354,4635,460252.44,Sul
Rio Grande do Sul,2008,5687,3823,214,1650,10906958,768131,134340,1622,34134,3244859.23,Sul
Mato Grosso do Sul,2008,1019,750,55,214,2417300,218606,43271,343,5254,575872.55,Centro-Oeste
Mato Grosso,2008,1280,982,28,270,2956496,274731,57105,136,1352,208481.73,Centro-Oeste
Goiás,2008,953,667,34,252,5957260,496379,111983,787,4030,501562.28,Centro-Oeste
Distrito Federal,2008,518,380,8,130,2483669,203358,49242,188,3519,73346.32,Centro-Oeste
Rondônia,2009,680,467,4,209,1640607,154445,28393,94,1082,22078.19,Norte
Acre,2009,364,320,4,40,720132,89420,20855,117,1042,35523.99,Norte
Amazonas,2009,2606,1973,131,502,3534456,418820,93854,339,4579,229299.61,Norte
Roraima,2009,145,118,4,23,450969,53903,9854,27,299,6927.23,Norte
Pará,2009,4106,2953,87,1066,7521656,831347,199115,470,7342,586937.67,Norte
Amapá,2009,253,177,3,73,669360,83669,17563,47,658,4869.76,Norte
Tocantins,2009,223,159,13,51,1398334,142948,25843,96,1088,103246.74,Norte
Maranhão,2009,2462,1843,77,542,6533027,753035,172826,135,2408,24503.17,Nordeste
Piauí,2009,1108,699,38,371,3125918,296465,53757,171,1325,122555.28,Nordeste
Ceará,2009,4664,3340,171,1153,8493155,766911,145938,710,9007,980643.62,Nordeste
Rio Grande do Norte,2009,1185,807,51,327,3226259,283000,53991,377,7117,846997.41,Nordeste
Paraíba,2009,1320,868,37,415,3785598,341344,72528,296,10247,826823.13,Nordeste
Pernambuco,2009,5028,3191,199,1638,8906488,799967,163863,1362,18618,2531065.16,Nordeste
Alagoas,2009,1448,983,81,384,3205791,329796,63644,257,3253,299296.0,Nordeste
Sergipe,2009,686,483,40,163,2093507,194910,36092,31,345,46587.63,Nordeste
Bahia,2009,6971,4798,225,1948,14665810,1282462,236767,1057,23016,1936113.25,Nordeste
Minas Gerais,2009,4851,3601,176,1074,19967560,1506462,264162,1244,21281,1916901.42,Sudeste
Espírito Santo,2009,1427,1113,54,260,3648075,285976,53026,173,1859,266086.98,Sudeste
Rio de Janeiro,2009,14390,9091,568,4731,15969092,1117133,240182,2481,49649,2455216.81,Sudeste
São Paulo,2009,17828,13453,505,3870,42075716,3118982,644561,1517,40952,3875032.48,Sudeste
Paraná,2009,2808,2085,96,627,10636065,816284,155766,981,20698,2193425.44,Sul
Santa Catarina,2009,2002,1458,65,479,6257173,447637,85701,414,6154,730316.49,Sul
Rio Grande do Sul,2009,6100,4017,188,1895,10965071,751616,132623,1105,28365,3200290.19,Sul
Mato Grosso do Sul,2009,1044,740,67,237,2452039,217219,42612,231,3321,382342.03,Centro-Oeste
Mato Grosso,2009,1158,830,34,294,3003310,272853,54812,64,805,43930.76,Centro-Oeste
Goiás,2009,1012,699,40,273,6057367,490199,104295,278,3505,527555.87,Centro-Oeste
Distrito Federal,2009,449,354,4,91,2541434,203017,49611,174,3114,83594.28,Centro-Oeste
Rondônia,2010,572,403,12,157,1663490,151892,26927,128,1487,10999.98,Norte
Acre,2010,347,287,10,50,734447,88960,21910,81,726,34203.9,Norte
Amazonas,2010,2764,2085,127,552,3604165,417019,90944,444,5845,692380.58,Norte
Roraima,2010,152,126,5,21,460678,53396,10704,52,579,22386.59,Norte
Pará,2010,4104,2960,102,1042,7638340,823194,187145,392,5871,487268.9,Norte
Amapá,2010,221,163,5,53,686189,82889,17081,53,576,8653.04,Norte
Tocantins,2010,216,150,8,58,1419100,141037,25031,115,1243,111572.67,Norte
Maranhão,2010,2414,1803,73,538,6603880,743677,159049,159,2329,97800.65,Nordeste
Piauí,2010,994,682,24,288,3142946,288922,52054,165,1409,131254.47,Nordeste
Ceará,2010,4315,3107,121,1087,8569783,752833,143579,668,8339,813400.58,Nordeste
Rio Grande do Norte,2010,1109,714,54,341,3264647,278834,55307,383,7742,695117.36,Nordeste
Paraíba,2010,1327,861,49,417,3819237,337051,66184,384,14497,1174695.79,Nordeste
Pernambuco,2010,5175,3278,202,1695,8985658,786467,154390,1618,23003,2978593.76,Nordeste
Alagoas,2010,1368,928,48,392,3231836,323146,56475,283,3271,426234.78,Nordeste
Sergipe,2010,630,475,24,131,2120052,191254,32240,53,439,61259.11,Nordeste
Bahia,2010,6521,4333,214,1974,14768312,1261213,235439,1253,28565,2425002.81,Nordeste
Minas Gerais,2010,4443,3241,188,1014,20134742,1481367,259614,1182,21807,2366995.75,Sudeste
Espírito Santo,2010,1478,1137,51,290,3697243,283247,55595,161,1781,229571.81,Sudeste
Rio de Janeiro,2010,14241,8766,605,4870,16074006,1098619,236062,2032,43997,2998021.88,Sudeste
São Paulo,2010,18213,14153,543,3517,42486692,3073135,613622,1504,35298,3433532.15,Sudeste
Paraná,2010,2770,2078,109,583,10728961,803186,155662,947,22337,2119807.3,Sul
Santa Catarina,2010,2070,1541,69,460,6351418,445098,86575,270,7108,663104.65,Sul
Rio Grande do Sul,2010,6180,3970,227,1983,11019030,736518,129259,1133,35366,3774052.76,Sul
Mato Grosso do Sul,2010,943,667,55,221,2486257,215715,42653,274,4094,456527.61,Centro-Oeste
Mato Grosso,2010,1368,959,26,383,3049348,270814,48389,84,1060,126330.92,Centro-Oeste
Goiás,2010,1016,711,29,276,6155266,484368,106377,337,3185,694362.13,Centro-Oeste
Distrito Federal,2010,430,331,12,87,2602074,203106,50346,175,3158,44138.18,Centro-Oeste
Rondônia,2011,685,470,10,205,1685697,149458,27688,181,2195,28285.64,Norte
Acre,2011,392,349,6,37,748616,88426,20406,63,765,37794.57,Norte
Amazonas,2011,2686,2041,84,561,3672969,414748,90439,347,5072,538788.74,Norte
Roraima,2011,171,135,7,29,469943,52833,11188,54,873,8928.53,Norte
Pará,2011,4334,3189,107,1038,7751993,814180,179486,397,4872,394460.06,Norte
Amapá,2011,259,195,6,58,702638,82002,16451,65,630,9784.13,Norte
Tocantins,2011,215,156,12,47,1439275,139050,27544,74,523,54759.32,Norte
Maranhão,2011,2505,1883,71,551,6670977,732403,154277,188,2516,179022.94,Nordeste
Piauí,2011,1002,712,38,252,3158000,281159,51537,106,913,81227.84,Nordeste
Ceará,2011,4398,3093,92,1213,8642630,739224,142710,633,8026,710657.09,Nordeste
Rio Grande do Norte,2011,1269,842,71,356,3302061,274717,56959,414,8503,824466.59,Nordeste
Paraíba,2011,1413,899,55,459,3852082,332378,67821,373,13236,1093523.57,Nordeste
Pernambuco,2011,5390,3419,177,1794,9062506,772862,159846,1869,26817,3746382.55,Nordeste
Alagoas,2011,1327,910,52,365,3256277,316332,55687,312,3636,473503.78,Nordeste
Sergipe,2011,669,516,33,120,2145945,187809,34884,52,452,28413.47,Nordeste
Bahia,2011,6412,4411,158,1843,14865405,1239677,232517,1210,24442,1380023.12,Nordeste
Minas Gerais,2011,4626,3385,194,1047,20294485,1457308,263013,1203,21881,2479751.95,Sudeste
Espírito Santo,2011,1450,1137,41,272,3745577,280533,53826,238,2458,571763.39,Sudeste
Rio de Janeiro,2011,14331,9254,562,4515,16175495,1081641,248506,1939,50462,3942627.02,Sudeste
São Paulo,2011,19083,14952,597,3534,42888198,3028995,627045,2507,125904,11194456.27,Sudeste
Paraná,2011,2722,2119,104,499,10820421,790866,159922,451,21169,1989097.92,Sul
Santa Catarina,2011,2218,1616,58,544,6446209,443152,89020,332,6719,611255.59,Sul
Rio Grande do Sul,2011,6360,4002,213,2145,11069861,722801,135571,1054,30051,3046513.31,Sul
Mato Grosso do Sul,2011,1047,729,44,274,2520305,214124,43799,244,3325,351095.45,Centro-Oeste
Mato Grosso,2011,1371,959,32,380,3094547,268633,51165,111,1131,123519.64,Centro-Oeste
Goiás,2011,989,677,36,276,6250462,478880,107604,297,2733,553265.76,Centro-Oeste
Distrito Federal,2011,489,348,7,134,2664444,203614,43465,170,2501,41512.01,Centro-Oeste
Rondônia,2012,692,484,5,203,1707272,147144,27641,173,2132,24163.9,Norte
Acre,2012,409,363,8,38,762631,87845,18297,77,1096,82213.8,Norte
Amazonas,2012,2842,2068,98,676,3740976,412122,94974,244,4343,393075.64,Norte
Roraima,2012,137,107,5,25,479073,52272,11440,24,282,6460.36,Norte
Pará,2012,4048,2823,101,1124,7862333,804490,169550,252,3085,244432.4,Norte
Amapá,2012,253,193,8,52,718906,81085,15497,80,676,9703.48,Norte
Tocantins,2012,185,131,6,48,1458965,137037,27034,76,688,79555.42,Norte
Maranhão,2012,2185,1541,105,539,6734353,719528,141013,124,2188,146590.05,Nordeste
Piauí,2012,921,606,34,281,3171456,273293,49809,69,594,44901.77,Nordeste
Ceará,2012,4236,2925,133,1178,8712413,726141,137360,628,8137,712489.36,Nordeste
Rio Grande do Norte,2012,1208,737,57,414,3338489,270660,54973,413,7902,772283.47,Nordeste
Paraíba,2012,1426,923,51,452,3883822,327319,66047,387,13621,1137023.51,Nordeste
Pernambuco,2012,5696,3517,244,1935,9136697,759210,153117,2018,29059,4270671.34,Nordeste
Alagoas,2012,1358,849,48,461,3279289,309421,59500,390,4324,647475.24,Nordeste
Sergipe,2012,617,445,36,136,2171137,184585,32744,25,275,15931.38,Nordeste
Bahia,2012,6082,3919,159,2004,14957177,1217917,217091,1174,21033,384304.31,Nordeste
Minas Gerais,2012,4257,3035,188,1034,20446840,1434298,264624,1142,19121,2134322.95,Sudeste
Espírito Santo,2012,1461,1089,54,318,3792874,277844,53768,264,2662,552893.27,Sudeste
Rio de Janeiro,2012,14018,8925,595,4498,16273984,1066224,235361,1688,45892,3492396.71,Sudeste
São Paulo,2012,18676,14769,594,3313,43281358,2987095,629176,2636,124877,10687233.56,Sudeste
Paraná,2012,2534,1925,97,512,10910374,779316,155690,386,20175,1867133.04,Sul
Santa Catarina,2012,2229,1642,48,539,6540596,441651,87177,352,5298,497093.3,Sul
Rio Grande do Sul,2012,6405,3960,246,2199,11118261,710420,135052,1171,31574,3047497.91,Sul
Mato Grosso do Sul,2012,1091,694,43,354,2554130,212450,42646,242,3246,321403.25,Centro-Oeste
Mato Grosso,2012,1605,1078,41,486,3138822,266324,52957,144,1245,126649.51,Centro-Oeste
Goiás,2012,1058,689,57,312,6343136,473769,100489,278,2920,690562.35,Centro-Oeste
Distrito Federal,2012,554,404,7,143,2727098,204498,47335,210,2937,64283.53,Centro-Oeste
Rondônia,2013,711,469,16,226,1728214,144943,31310,147,1742,42227.01,Norte
Acre,2013,406,364,13,29,776463,87220,19306,59,797,35349.26,Norte
Amazonas,2013,3060,2252,137,671,3807921,409194,90809,281,4654,410172.7,Norte
Roraima,2013,167,118,5,44,488072,51728,9559,36,436,8857.01,Norte
Pará,2013,4119,3054,96,969,7969654,794380,177110,349,4519,328078.06,Norte
Amapá,2013,220,175,5,40,734996,80177,17225,53,677,10951.45,Norte
Tocantins,2013,194,141,8,45,1478164,135028,24205,72,634,76187.74,Norte
Maranhão,2013,2278,1692,89,497,6794301,705496,147846,155,2097,120168.52,Nordeste
Piauí,2013,908,666,47,195,3183404,265505,50050,61,521,35419.43,Nordeste
Ceará,2013,4052,2792,109,1151,8779338,713659,144689,659,9073,846379.92,Nordeste
Rio Grande do Norte,2013,1273,833,53,387,3373959,266710,53268,415,8268,763284.45,Nordeste
Paraíba,2013,1429,935,51,443,3914421,321975,66089,381,14895,1206312.65,Nordeste
Pernambuco,2013,5420,3382,255,1783,9208550,745749,156369,1697,24459,4099791.46,Nordeste
Alagoas,2013,1324,874,44,406,3300935,302574,62127,309,3293,390445.74,Nordeste
Sergipe,2013,710,500,41,169,2195662,181609,35195,47,696,26338.03,Nordeste
Bahia,2013,5679,3911,163,1605,15044137,1196281,219898,1209,21559,1846462.93,Nordeste
Minas Gerais,2013,4200,2999,154,1047,20593356,1412425,257189,1078,16241,1895689.99,Sudeste
Espírito Santo,2013,1384,1019,65,300,3839366,275219,57371,209,2143,453577.32,Sudeste
Rio de Janeiro,2013,13349,8676,618,4055,16369179,1052291,239772,1531,42997,3253616.02,Sudeste
São Paulo,2013,19530,15289,666,3575,43663669,2947378,641210,2531,92458,8081668.39,Sudeste
Paraná,2013,2650,1965,126,559,10997465,768412,164100,365,16177,1612680.55,Sul
Santa Catarina,2013,2268,1678,51,539,6634254,440532,87841,396,5597,533724.36,Sul
Rio Grande do Sul,2013,6348,3886,180,2282,11164043,699242,133169,939,17801,1989154.83,Sul
Mato Grosso do Sul,2013,1098,718,30,350,2587269,210672,44676,293,4125,522885.85,Centro-Oeste
Mato Grosso,2013,1886,1228,29,629,3182113,263892,56920,195,1777,235493.77,Centro-Oeste
Goiás,2013,1072,746,39,287,6434048,469094,104840,351,3395,959669.09,Centro-Oeste
Distrito Federal,2013,473,359,10,104,2789761,205671,59168,206,3056,63056.38,Centro-Oeste
Rondônia,2014,686,445,12,229,1748531,142826,30520,99,794,30993.1,Norte
Acre,2014,462,423,10,29,790101,86554,17874,70,1070,56167.53,Norte
Amazonas,2014,3143,2269,90,784,3873743,405980,94561,223,2984,246327.67,Norte
Roraima,2014,148,117,3,28,496936,51200,11145,30,297,5949.21,Norte
Pará,2014,3940,2900,69,971,8073924,783993,165996,416,5814,444281.85,Norte
Amapá,2014,211,157,5,49,750912,79310,17955,28,292,4232.39,Norte
Tocantins,2014,186,144,8,34,1496880,133055,26758,84,799,79689.29,Norte
Maranhão,2014,2111,1535,66,510,6850884,690776,134507,158,1984,125295.66,Nordeste
