 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Ano
Período:2008-2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"11 Rondônia";1616992;1640607;1663490;1685697;1707272;1728214;1748531;1768204;1787279;1805788;1823741;1841142;1857992;1874318
"12 Acre";705635;720132;734447;748616;762631;776463;790101;803513;816687;829619;842290;854691;866811;878654
"13 Amazonas";3463562;3534456;3604165;3672969;3740976;3807921;3873743;3938336;4001667;4063614;4124033;4182899;4240210;4295846
"14 Roraima";440533;450969;460678;469943;479073;488072;496936;505665;514229;522636;530879;538963;546891;554663
"15 Pará";7402515;7521656;7638340;7751993;7862333;7969654;8073924;8175113;8272724;8366628;8457229;8544639;8628901;8710364
"16 Amapá";651977;669360;686189;702638;718906;734996;750912;766679;782295;797722;812961;828028;842914;857634
"17 Tocantins";1376898;1398334;1419100;1439275;1458965;1478164;1496880;1515126;1532902;1550194;1567016;1583391;1599316;1614821
"21 Maranhão";6458789;6533027;6603880;6670977;6734353;6794301;6850884;6904241;6954036;7000229;7043339;7083578;7121156;7156431
"22 Piauí";3106597;3125918;3142946;3158000;3171456;3183404;3193956;3203262;3211411;3218485;3224536;3229651;3233891;3237279
"23 Ceará";8412055;8493155;8569783;8642630;8712413;8779338;8843553;8905225;8964432;9021232;9075744;9128090;9178363;9226629
"24 Rio Grande do Norte";3186891;3226259;3264647;3302061;3338489;3373959;3408510;3442175;3474998;3507003;3538218;3568644;3598288;3627158
"25 Paraíba";3751507;3785598;3819237;3852082;3883822;3914421;3943885;3972202;3999415;4025558;4050662;4074755;4097859;4119993
"26 Pernambuco";8825549;8906488;8985658;9062506;9136697;9208550;9278152;9345603;9410772;9473707;9534634;9593588;9650604;9705888
"27 Alagoas";3177975;3205791;3231836;3256277;3279289;3300935;3321305;3340502;3358527;3375382;3391142;3405893;3419689;3432603
"28 Sergipe";2066358;2093507;2120052;2145945;2171137;2195662;2219574;2242937;2265779;2288116;2309961;2331323;2352207;2372637
"29 Bahia";14558148;14665810;14768312;14865405;14957177;15044137;15126371;15203934;15276566;15344447;15408073;15467527;15522855;15574542
"31 Minas Gerais";19794278;19967560;20134742;20294485;20446840;20593356;20734097;20869101;20997560;21119536;21235870;21346492;21451356;21551426
"32 Espírito Santo";3598524;3648075;3697243;3745577;3792874;3839366;3885049;3929911;3973697;4016356;4058079;4098852;4138657;4177644
"33 Rio de Janeiro";15859866;15969092;16074006;16175495;16273984;16369179;16461173;16550024;16635996;16718956;16798421;16874306;16946541;17014734
"35 São Paulo";41651651;42075716;42486692;42888198;43281358;43663669;44035304;44396484;44749699;45094866;45429330;45752757;46064928;46363573
"41 Paraná";10540407;10636065;10728961;10820421;10910374;10997465;11081692;11163018;11242720;11320892;11396262;11468818;11538518;11604353
"42 Santa Catarina";6164049;6257173;6351418;6446209;6540596;6634254;6727148;6819190;6910553;7001161;7090682;7179056;7266193;7351785
"43 Rio Grande do Sul";10906958;10965071;11019030;11069861;11118261;11164043;11207274;11247972;11286500;11322895;11356804;11388156;11416895;11442766
"50 Mato Grosso do Sul";2417300;2452039;2486257;2520305;2554130;2587269;2619657;2651235;2682386;2713147;2743142;2772343;2800704;2827912
"51 Mato Grosso";2956496;3003310;3049348;3094547;3138822;3182113;3224357;3265486;3305531;3344544;3382487;3419350;3455092;3489729
"52 Goiás";5957260;6057367;6155266;6250462;6343136;6434048;6523222;6610681;6695855;6778772;6860047;6939629;7017496;7094285
"53 Distrito Federal";2483669;2541434;2602074;2664444;2727098;2789761;2852372;2914830;2977216;3039444;3101220;3162452;3223048;3282791
"Total";191532439;193543969;195497797;197397018;199242462;201032714;202768562;204450649;206081432;207660929;209186802;210659013;212077375;213440458
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
