 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";12356;26336;12228;12974;14238;11873;29222;31779;30408;28954;27453;25013;24409;24837;28275;27654;30210;30172;31280;29626;29603;30566;33448;32578;30542;28278;29387;31598;33428;32661;34475;35126;37554;32256;33073;32128;32993;30707;32847;34616;36643;36969;34379;40340;44636;33577;33275;28988;31272;33783;35782;35062;37111;41624;37152;32752;32121;30087;29418;26075;33159;36989;43672;45022;41917;39010;43219;42934;42123;42938;44323;41092;40688;40594;39205;42540;46436;44495;43443;43097;43100;41623;40904;40040;42790;41451;41808;38966;46318;46300;49649;44371;42813;45122;44201;39115;45533;44371;43720;47450;45704;48825;46149;44675;43830;40144;41541;41692;43623;37800;40706;48388;42536;46306;47022;42268;43461;45292;43860;42043;43639;48434;48101;47175;45849;45602;43583;49862;43865;45123;46239;44186;50647;44115;48556;48770;51333;45936;55548;50380;48667;51015;50519;44619;51058;41850;47055;38468;35116;34303;41409;40358;39378;34191;42284;35731;41959;32619;35584;6143739
"12 Acre";7243;13950;16571;16372;17003;16629;21610;19242;21547;17834;15747;17499;20559;17782;17345;21739;21115;19004;20936;18263;-;20416;15657;21477;20368;15411;17370;19383;19715;17337;17374;18044;17423;15760;18027;20086;23007;18194;19058;19095;20903;20366;22092;19741;20752;18772;20983;19070;18390;13848;20667;21883;20097;22234;20193;20010;16935;21732;21291;18303;20204;23189;21124;22874;19424;18800;20552;19848;18960;20633;19639;19572;26075;20428;19964;19989;21460;18853;22553;21691;20884;21780;21463;19153;20026;19681;21181;18803;19381;20532;18665;19655;21472;20667;20193;20219;17646;19326;21140;21249;21726;22126;22089;20764;21746;21574;19706;20247;18744;18904;18683;16331;18384;13974;14150;19589;18408;25098;24317;16660;22117;15829;15649;19446;15859;19090;20078;20032;17772;18319;20423;12900;15896;14069;19586;15630;19526;19579;19345;19174;18538;19763;17326;18113;20410;20838;18806;14565;14464;14565;17629;17462;15650;19949;15758;17467;18173;19018;21284;3021719
"13 Amazonas";42463;59954;68526;66787;62886;69155;74612;76509;73979;69029;55114;57537;53895;46326;65681;61885;62777;61935;67736;61115;66514;63751;62990;62548;68200;57745;58363;64597;66127;69419;67602;59877;56976;65291;64420;67550;67117;62936;64489;70393;73622;66883;75152;61767;62978;65274;62828;74121;64224;69060;67976;68204;74534;70373;72454;68406;71858;71176;69342;59755;71316;66527;68119;73078;68747;72657;72432;73653;69517;69667;65312;65037;65731;59514;63393;58210;71183;60241;62627;62428;66935;67720;66031;64505;64829;70769;65482;70820;75508;75591;79759;74254;75279;70999;74524;67161;64539;71902;75445;70817;75681;79475;73965;78213;78442;64735;67383;65681;71692;65024;80780;72706;79587;78057;81671;79356;77990;79968;75114;72629;77252;72787;78395;79680;84432;80689;82831;81814;84490;86094;80197;77161;88946;80411;88168;84585;89959;82590;88285;83332;88008;82501;82774;78204;86541;80711;82728;70606;76269;82377;80307;77159;83596;78900;84909;71389;78703;94794;91539;11369313
"14 Roraima";6568;8247;8475;11002;9132;9727;10101;9906;10040;12725;11626;10579;10613;8738;11378;10761;13794;12098;12472;14375;13478;10368;11925;11655;10673;10405;13242;14457;14642;14232;14833;14038;13868;14895;13958;10607;11057;9420;11340;9761;8513;9511;11011;11623;11763;11434;13056;15247;11407;13856;16161;14150;16390;14552;14111;13490;11954;10190;11127;10949;12481;11335;12648;13122;13571;15411;17423;14549;13012;12697;13418;10332;14767;12554;12457;11679;13087;11681;13570;14025;12587;13109;13155;8839;13969;15832;13881;18912;14062;12609;16391;19179;14962;17567;13419;14022;11860;14279;15791;18655;19258;17995;22815;21599;21849;21174;20088;17069;16642;17085;19115;18754;19419;18982;22697;19395;18863;17300;18445;18231;19751;19774;18126;18636;18456;19443;19370;18281;16463;21354;23120;19346;22204;20437;15494;18617;19788;20921;25560;25470;21444;22809;22443;25820;21030;22177;22364;17693;15480;15510;16913;18782;17353;19998;20462;19928;18253;22026;20872;2437348
"15 Pará";130838;148124;161326;148795;170449;162329;172357;168193;171678;164050;148014;148760;154645;147084;165885;162855;159562;156297;175039;169004;174818;170386;153878;161151;155343;158650;165273;158914;169634;162253;160109;165222;167231;164110;161529;160279;167660;162065;162027;166536;152721;164683;145267;145644;162207;160080;157474;157258;159614;154593;159372;161136;165127;155848;155943;122532;157626;155025;149158;151583;146231;155393;160895;159185;161410;166368;154940;155034;156710;156221;152461;154863;147173;147227;160532;156317;160899;166458;161965;161913;166475;161434;158547;154488;152813;156411;157924;159175;159749;160309;162772;166569;156190;153369;141457;141259;142096;164695;151848;160599;152544;159148;152083;157063;157841;158085;148971;150547;158476;155786;153221;160911;160183;169550;163896;162565;180751;173523;169735;167386;159161;159598;164193;171709;172356;172665;172105;174450;173345;172197;168446;160635;163144;161252;165533;175468;176051;173401;147338;153858;168289;167245;168524;164520;162340;168985;163632;125536;128538;145127;143161;169613;153393;151530;156958;152462;152383;143891;126474;25277388
"16 Amapá";12612;13340;9675;10847;7629;12038;12399;15861;14646;16184;13215;15029;15586;13278;13584;20107;14531;15220;16133;14019;15976;16792;13852;13712;15012;13180;13253;13317;12839;16362;15263;14129;13975;12564;16528;14842;14020;14660;13076;14954;15540;17594;19906;14560;15517;13281;13636;16473;16995;14231;15425;15336;16333;16923;16559;17158;16408;17081;17000;16478;16260;14530;14300;17421;17525;18384;17858;18646;16570;16226;16226;15675;16623;14537;13430;15527;18195;14374;20117;17996;16260;16902;13469;15219;13414;11226;14132;15392;15666;16548;16884;14972;17662;15293;14087;14765;13589;13230;13673;13090;15383;16718;15375;14979;15893;14608;13160;16712;13278;13545;14282;13112;15759;15317;15932;17185;15945;15009;12745;12648;13074;15303;14489;14169;14947;16770;15651;19489;19848;20080;16494;17692;20383;16190;18262;17052;20307;16453;18743;21323;17434;17263;16570;16658;15801;15729;12248;9104;10026;11011;16503;16400;14070;12366;10880;16009;15052;16433;18382;2434809
"17 Tocantins";27623;36671;47070;37785;38813;36740;41537;39186;38320;34119;36425;35970;36230;36475;37672;38910;40196;39271;38309;38231;38278;37752;37501;35353;38470;37599;39440;38302;39567;39435;39009;39819;38472;37755;37874;36483;38413;38735;41018;40970;41273;38830;38887;36808;36627;38403;37657;41116;40373;38681;44024;39782;39917;40006;37295;38940;37343;36027;29538;32065;34506;38388;39765;38890;38862;36699;31777;35139;34043;35827;31940;31899;33855;35195;36460;33099;34023;32450;34436;37450;39130;39587;35177;28640;34275;31864;31589;34874;31487;35183;33616;31840;28258;30694;31232;26910;27473;32796;37734;34555;34051;33690;36882;33367;32639;29332;37041;33409;29483;32781;37352;30573;38849;37767;30968;36448;34006;27609;31282;28698;31456;30431;33017;27526;29476;31992;29276;33763;29495;30315;27394;27705;32283;36956;39554;35583;39002;34779;37403;39692;45400;40770;35814;38832;40920;36460;40749;32196;34195;32472;33603;30158;30612;30856;1682;1729;1399;1303;3241;5486723
"21 Maranhão";101198;122139;126181;131070;129374;133135;136703;137145;132828;139287;141799;126991;122548;132526;131556;136957;142165;142856;141963;145590;151680;147511;139982;140985;140045;134328;146680;145113;151694;148594;149142;150913;143422;152079;154912;145452;147468;150347;148790;158801;152425;149796;148891;147015;148521;156255;154956;164701;151250;149163;151697;159884;157692;153982;155156;146749;143940;137049;138206;128382;139458;138808;144220;149378;154715;155579;154578;157020;156009;157542;149188;155652;152952;145974;150801;155843;155815;160176;158519;164719;164518;154757;155112;151839;149332;152372;161835;159481;168449;167633;165640;163985;165044;157542;159566;163006;160650;162060;164218;163708;167994;171260;169208;168400;165825;159768;157255;131838;156396;163807;171017;164618;172086;170936;185178;173460;174291;168743;161402;173939;174501;167690;179497;187007;183303;178794;175070;172674;169744;167117;168448;175482;179192;162497;174995;174395;181750;175858;179907;183588;179119;181502;176042;168099;174676;169663;169416;138277;145273;143474;153420;156153;158695;166055;158677;152440;157362;153202;162593;24768420
"22 Piauí";67173;81916;81569;84326;84616;88461;91697;86212;85971;87674;81703;81306;78299;74889;78155;82491;92174;93732;90493;85937;88102;83267;86390;90549;89321;83756;87135;83394;87007;82141;77844;76937;76674;73518;76066;74370;75320;72216;81171;83236;79141;72731;76362;75165;74090;72060;74078;75040;78068;67858;75578;72151;78616;74632;75804;78418;75388;73913;73183;63734;76454;73533;75644;79404;83927;81466;82531;84893;75022;77251;74614;72989;81266;72379;78219;76667;81455;76591;76554;77466;79465;78460;71256;69694;75686;76615;76187;80450;84397;80235;77233;80425;76876;80244;83887;78801;81562;81725;88180;85122;84128;85133;84400;83377;83489;81306;79750;81683;80761;75322;80085;83203;87615;84710;85739;85255;88269;83538;80898;83497;85241;81196;89680;89659;89282;88334;91358;92535;86843;88819;85129;87327;84633;81342;90523;88823;92323;90317;91011;91313;89700;90984;88988;88113;86415;84912;75579;60729;60796;66561;71724;75543;71877;79634;73026;75864;85216;73974;71361;12836885
"23 Ceará";127793;187695;216466;229250;225922;223877;216751;204416;214277;194928;170080;195238;181039;198257;225326;220299;222782;219746;216146;217888;210639;209533;213009;196260;194744;198067;206299;205267;211295;209667;207636;218273;206001;204923;208395;203661;206540;208089;212815;206634;193925;199378;208508;204639;207779;217055;211560;210188;196835;191334;200126;205772;208110;209820;197373;193566;193402;184458;180873;180124;181283;185681;199598;220969;215250;209863;212043;207560;221483;225514;199778;196764;219974;199980;203030;206251;230680;216129;234897;219299;237272;209674;224679;220906;225122;206909;225169;228406;237860;231712;234021;239960;239931;229742;233184;211968;220488;210640;213714;230433;228792;231988;219320;231286;225432;220660;221934;214906;203176;211284;227263;213329;237764;226609;229889;226964;226233;225875;226021;212341;227078;219191;240779;239420;241505;236330;239946;246006;225090;237379;224386;217648;242269;232308;238631;244135;255026;246750;248530;253337;251337;250358;235710;242187;241433;239470;230287;203290;195274;205844;206124;207866;204952;220804;217957;209671;213400;211243;218756;34381337
