"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";" Total"
"11 Rondônia";"59404";"59097";"60901";"55952";"62373";"57291";"48749";"42255";"37627";"36344";"3008";"2480";"3245";"2841";"3056";"3056";"3026";"2871";"2864";"2551";"2911";"2450";"2821";"2681";"3808";"2918";"2996";"2909";"2810";"2993";"3052";"2776";"2873";"2418";"2755";"2495";"3007";"2645";"3052";"2908";"2718";"2894";"2884";"3068";"2929";"2718";"2907";"2543";"2850";"2768";"2490";"2722";"2202";"2239";"1929";"2689";"2565";"1188";"2509";"2350";"2432";"2768";"2315";"2311";"2598";"2454";"2468";"2505";"2245";"2442";"2546";"2220";"2609";"2724";"2449";"2331";"2256";"2261";"2380";"2263";"2169";"2185";"2213";"2092";"2625";"1962";"2277";"2195";"2143";"2172";"2182";"2357";"2280";"2429";"2276";"2127";"2255";"2403";"2258";"2485";"2028";"2492";"2344";"2412";"2374";"2234";"2243";"2103";"2276";"2343";"2200";"2236";"2203";"2465";"2434";"2406";"2513";"2219";"2583";"2272";"2323";"2719";"2607";"2586";"2861";"2589";"3008";"2933";"2387";"2442";"2758";"2373";"2245";"2683";"2831";"2434";"2660";"2450";"2593";"2723";"2613";"2157";"2211";"2329";"2211";"2493";"2909";"2561";"2455";"2693";"2727";"3028";"2585";"2521";"2690";"2383";"2527";"2662";"2560";"2570";"2313";"2475";"2800";"2313";"2239";"2101";"2461";"2241";"2670";"2230";"2996";"2281";"2136";"2011";"2908";"2152";"2171";"2199";"2180";"1788";"2219";"2268";"2445";"2109";"2005";"2253";"2268";"2048";"2071";"2075";"2235";"2026";"2149";"2136";"1955";"1881";"2024";"2107";"2173";"2219";"1978";"1952";"1853";"1599";"1727";"1770";"1750";"1918";"1562";"1570";"1524";"1530";"1475";"1505";"1466";"1307";"1602";"1498";"1322";"195";"1020997"
"12 Acre";"11175";"20662";"19263";"36289";"23872";"24910";"29519";"30290";"27742";"29495";"2207";"2221";"2907";"2228";"1878";"1858";"2177";"2087";"2013";"1667";"1847";"1710";"1536";"1663";"1981";"2237";"2540";"2348";"2426";"2712";"2955";"1831";"1814";"1873";"1915";"1910";"2268";"2616";"2139";"1968";"2019";"1844";"2207";"1653";"1829";"1507";"1965";"1688";"2003";"2141";"1863";"2016";"1945";"1840";"2574";"2144";"2302";"2231";"1799";"1602";"1847";"2241";"2287";"1956";"1708";"1770";"1955";"1691";"1619";"1958";"1596";"1668";"1733";"2019";"1915";"1717";"1841";"1665";"1945";"1472";"1769";"1515";"1621";"1615";"1728";"2220";"1940";"1928";"1726";"1952";"1452";"1846";"1776";"2106";"1762";"1714";"1594";"1767";"1940";"1626";"1714";"1911";"1554";"1976";"1527";"1321";"1747";"1771";"1499";"1844";"1190";"1557";"1512";"1468";"1450";"1488";"1854";"917";"1280";"1411";"2086";"1838";"1655";"1600";"1869";"1863";"1894";"1400";"1379";"1031";"1498";"1039";"1499";"1411";"1805";"1711";"1146";"2433";"1356";"1527";"1347";"1102";"1667";"1718";"1489";"2095";"1715";"1664";"1672";"1883";"1589";"1310";"1005";"855";"1555";"1600";"1324";"1616";"1815";"1660";"1303";"1144";"1737";"1373";"1194";"1023";"1060";"1175";"1146";"1340";"1932";"1654";"1430";"1366";"1440";"1619";"1471";"1293";"1198";"1121";"1333";"1549";"1533";"1310";"1327";"1529";"1354";"1469";"1349";"1151";"1410";"1234";"1393";"1371";"1434";"1280";"1305";"1490";"1436";"1441";"1112";"1019";"1204";"1039";"1173";"1147";"1298";"835";"1150";"1015";"818";"759";"700";"561";"585";"505";"599";"491";"495";"58";"593113"
"13 Amazonas";"54952";"101562";"109665";"123751";"159572";"131697";"131437";"137462";"149235";"142575";"8713";"8676";"8878";"9416";"8393";"7314";"8333";"9678";"9065";"7174";"7064";"7838";"7944";"8008";"8741";"9603";"11191";"10153";"10002";"10555";"9270";"8723";"8338";"7873";"8876";"8620";"8699";"8453";"9809";"8585";"8241";"7818";"8859";"7998";"8426";"8852";"8829";"8785";"8716";"6969";"8657";"9269";"8241";"8205";"6767";"9022";"7526";"6965";"7272";"7297";"7624";"8237";"8337";"8771";"7372";"7816";"8542";"8152";"7491";"7278";"8425";"7634";"7727";"8144";"7932";"8426";"7305";"8331";"7990";"7048";"7945";"6947";"7956";"7765";"8234";"8055";"7722";"7201";"7004";"7707";"7874";"6925";"7764";"6737";"7809";"7299";"7056";"7316";"8296";"7529";"7474";"8013";"7312";"7477";"7905";"6953";"8011";"7696";"7842";"7280";"7946";"7803";"7369";"7985";"9052";"8012";"7993";"7985";"7974";"8238";"8512";"5975";"4646";"7663";"7538";"7784";"8568";"8011";"8417";"7483";"7874";"7882";"6944";"7874";"7563";"8606";"7898";"8011";"8119";"7969";"7604";"8217";"8376";"7580";"6721";"6287";"6865";"6918";"7283";"9229";"7618";"7681";"7087";"6506";"6577";"6221";"5890";"6663";"6280";"6492";"6078";"10250";"6954";"5853";"5822";"5572";"6687";"5737";"7278";"5956";"6673";"6358";"6092";"6410";"6883";"6655";"6651";"6043";"6782";"5279";"6175";"6382";"6501";"5958";"6520";"6444";"6440";"6524";"6480";"5970";"6567";"5824";"6156";"6251";"6232";"5695";"5036";"6476";"6692";"6700";"6066";"5836";"5836";"5352";"6111";"5121";"5416";"6016";"6748";"6238";"6148";"5733";"5546";"5376";"4711";"4910";"5513";"4883";"3755";"547";"2790980"
"14 Roraima";"10186";"13296";"12267";"15827";"18662";"19871";"28905";"18545";"17750";"18501";"1223";"1733";"1602";"1343";"1794";"1881";"1359";"1720";"1881";"1379";"1547";"1312";"1906";"1603";"1778";"1679";"1826";"2751";"1544";"2177";"1712";"1774";"1609";"1978";"1789";"1751";"1754";"1611";"2221";"1387";"1051";"921";"993";"968";"1125";"935";"800";"936";"948";"1036";"728";"1089";"816";"698";"822";"862";"921";"794";"1514";"892";"730";"836";"882";"943";"800";"814";"874";"839";"1075";"299";"879";"962";"803";"936";"847";"873";"610";"802";"1165";"788";"824";"365";"895";"881";"869";"1026";"776";"861";"827";"811";"982";"1002";"932";"842";"886";"843";"756";"739";"764";"892";"1014";"1176";"986";"866";"854";"1412";"1451";"1399";"1235";"784";"291";"1094";"796";"965";"861";"780";"864";"920";"984";"904";"979";"756";"913";"966";"992";"790";"1179";"907";"99";"90";"955";"998";"898";"1009";"967";"978";"147";"909";"1002";"1022";"1052";"1208";"746";"1038";"1048";"932";"945";"1001";"1137";"1054";"987";"1175";"1017";"963";"1052";"1095";"896";"975";"922";"914";"871";"976";"1322";"1026";"1081";"957";"1138";"1118";"1082";"1165";"1007";"943";"954";"1040";"1477";"1001";"1197";"1074";"1320";"1056";"1268";"1237";"1203";"1267";"1261";"1305";"1306";"1474";"1303";"1377";"1436";"1098";"1204";"1166";"1189";"1050";"1074";"1090";"1141";"1199";"1061";"1011";"1061";"1002";"1033";"912";"933";"1244";"761";"872";"914";"955";"940";"972";"882";"745";"971";"881";"911";"131";"398807"
"15 Pará";"214827";"288159";"254040";"314509";"224088";"257300";"260372";"290827";"314063";"312463";"20442";"20479";"19210";"23105";"17443";"25341";"18493";"23650";"21686";"19026";"24918";"19252";"23000";"22839";"24045";"27179";"29138";"34827";"24819";"32025";"25912";"24054";"23411";"20960";"25170";"23408";"22332";"23954";"21969";"24598";"19521";"22360";"23259";"19870";"22481";"19794";"20442";"19017";"19133";"21500";"21687";"22641";"18648";"20957";"21406";"17713";"19778";"16396";"18545";"17828";"17217";"17718";"16466";"21041";"16136";"18621";"18602";"17192";"17508";"14996";"17270";"16496";"17131";"16839";"16478";"17249";"16511";"17209";"17130";"15859";"16104";"14839";"15716";"15000";"16124";"16245";"15123";"15969";"15536";"16865";"16416";"15663";"15314";"13174";"14163";"14389";"14187";"15692";"15279";"15624";"14700";"16003";"14849";"15201";"14904";"14495";"14853";"14063";"14931";"15064";"14721";"13856";"12958";"15918";"14073";"12912";"14267";"11934";"16389";"13066";"14255";"14479";"15537";"13705";"15033";"15418";"16078";"14751";"15464";"12935";"17078";"13954";"10729";"14264";"15169";"14504";"14489";"14430";"13271";"12940";"12621";"12547";"14482";"11531";"11254";"9791";"11906";"11770";"11285";"15480";"10678";"10238";"10096";"8099";"11936";"11765";"11382";"10404";"10240";"10834";"9250";"10356";"11455";"7890";"8246";"8144";"11046";"8028";"10988";"9593";"10823";"10558";"10382";"11641";"13402";"11456";"10992";"9323";"11966";"8795";"10638";"10351";"10190";"9790";"10614";"11269";"10174";"11236";"10524";"9419";"12359";"10103";"10082";"10151";"10451";"9316";"7695";"9065";"10480";"10710";"9465";"7948";"9270";"7504";"8409";"7367";"7382";"8274";"9429";"8557";"7974";"8108";"7820";"6585";"6628";"5983";"7140";"6450";"4903";"335";"5851861"
"16 Amapá";"0";"11260";"17519";"16945";"20295";"34501";"28293";"43403";"22048";"20522";"1570";"1198";"1519";"1457";"1437";"1619";"1451";"1932";"1564";"1513";"1698";"1408";"1413";"1500";"1537";"1542";"1578";"1960";"1499";"1829";"1826";"1589";"1598";"1282";"1780";"1507";"1641";"1581";"1725";"1561";"1669";"1633";"1652";"1485";"1563";"1163";"1746";"1368";"1553";"1574";"1362";"1509";"1312";"1431";"1379";"1445";"1298";"1289";"1471";"1376";"1450";"1671";"1654";"1638";"1323";"1383";"1833";"1605";"1670";"1447";"1680";"1230";"1752";"1515";"1368";"1326";"1445";"1544";"1725";"1329";"1715";"934";"1510";"1348";"1508";"1451";"1325";"1599";"1361";"1505";"1439";"1344";"1441";"1250";"1268";"1329";"1210";"1406";"1478";"1281";"1339";"1420";"1515";"1427";"1434";"1344";"1450";"1275";"1296";"1193";"1298";"1147";"1382";"1375";"1283";"1475";"1353";"970";"1564";"1198";"1230";"1243";"1233";"1329";"1696";"1763";"1447";"1532";"1457";"1533";"1570";"1496";"982";"1623";"1519";"1451";"1543";"1340";"1935";"1611";"683";"2202";"1638";"1503";"1574";"1582";"1418";"1348";"1694";"1926";"1593";"1672";"1617";"1655";"1556";"1687";"1584";"1531";"1507";"1499";"1617";"1739";"1977";"1267";"1440";"1292";"1402";"1194";"1360";"1078";"1397";"1431";"1267";"1425";"1408";"1517";"1452";"1291";"1428";"853";"1455";"1328";"1521";"1354";"1384";"1620";"1485";"1635";"1523";"1543";"1515";"1364";"1387";"1405";"1398";"1254";"1502";"1330";"1350";"1597";"1375";"1210";"1306";"824";"1029";"875";"927";"1145";"1203";"1149";"1029";"1374";"483";"266";"260";"209";"189";"253";"201";"1";"509501"
"17 Tocantins";"0";"0";"43024";"53110";"63020";"79413";"67881";"66927";"62402";"66823";"4428";"3988";"4716";"4780";"4294";"6057";"4166";"6507";"4586";"4006";"4629";"4188";"5040";"4093";"4699";"5511";"5610";"6622";"4788";"6341";"4987";"4482";"4900";"4674";"4794";"4314";"5347";"4767";"5009";"4033";"2902";"2862";"2678";"2572";"2624";"2791";"2393";"1956";"2751";"2825";"2612";"2707";"2576";"2883";"2410";"2534";"2404";"2590";"2014";"2098";"2422";"2334";"2198";"2308";"2217";"2305";"2143";"2118";"2245";"2779";"1980";"1880";"2332";"2136";"2174";"2258";"2149";"2053";"2112";"2045";"2089";"2635";"1734";"1687";"2240";"2068";"2104";"2144";"1959";"2163";"2150";"2095";"2231";"2456";"1865";"1736";"2105";"2455";"2610";"2387";"2025";"2554";"2978";"2029";"2156";"2644";"2178";"1892";"2327";"2698";"2222";"2329";"2113";"1842";"2061";"2281";"2617";"2474";"1889";"1918";"2087";"2309";"2270";"2022";"1849";"1966";"1975";"1835";"2039";"2046";"2466";"2187";"2353";"2530";"2307";"2087";"2156";"2307";"2549";"2170";"1932";"1714";"2145";"1785";"1290";"2737";"2098";"2844";"2368";"2550";"2655";"2442";"2217";"1545";"2191";"2227";"2429";"2496";"2379";"2373";"2209";"2215";"1816";"2011";"1978";"1788";"2055";"2082";"2613";"2497";"2786";"2413";"2156";"2298";"2433";"2199";"2170";"2009";"2016";"1146";"2767";"2507";"2333";"2158";"2017";"2338";"2317";"2224";"2102";"2165";"2443";"2009";"2531";"2783";"2588";"2725";"2693";"2549";"2563";"2298";"2044";"1938";"1923";"1809";"2002";"2119";"2078";"2130";"2129";"1874";"1791";"1751";"1743";"1584";"1663";"1511";"1714";"1782";"992";"160";"1046130"
"21 Maranhão";"215542";"256003";"236511";"271311";"291042";"309693";"262625";"267201";"258057";"274476";"20375";"20463";"20703";"21254";"24614";"25393";"22035";"28399";"22962";"20332";"21230";"18472";"20137";"20901";"23164";"25553";"25545";"32446";"23695";"31145";"24274";"25448";"24744";"21054";"23277";"21755";"22622";"22604";"23787";"23488";"17884";"18194";"18109";"18037";"17483";"16486";"18264";"16251";"16549";"17512";"18476";"18570";"17613";"19361";"17509";"16849";"16495";"15644";"16648";"15130";"15060";"16617";"15453";"16716";"15815";"15903";"15204";"14774";"14387";"12430";"16000";"13953";"15367";"13784";"14581";"14806";"14733";"13864";"14029";"14342";"14156";"13211";"14017";"13446";"13372";"12883";"13295";"13427";"13039";"13182";"14283";"13261";"13899";"10945";"12985";"11817";"11946";"12595";"13273";"13792";"12969";"13573";"13928";"11525";"13743";"12131";"12292";"11541";"11915";"11423";"11815";"12314";"11296";"12216";"11777";"12276";"11664";"10484";"13905";"11461";"11976";"12840";"12591";"12143";"11648";"13218";"14776";"11707";"11680";"9901";"12034";"10284";"10506";"11283";"11313";"11094";"11399";"11824";"12195";"11884";"11170";"9521";"10386";"8481";"8172";"9295";"9601";"11361";"11247";"15466";"11682";"10879";"10044";"7324";"10440";"9600";"10203";"9879";"9770";"9701";"8898";"9417";"11217";"7666";"7784";"6096";"9782";"8440";"10450";"10006";"12203";"11332";"11512";"11831";"13223";"11475";"10670";"8284";"12064";"9157";"10441";"11298";"10989";"10182";"10859";"10537";"10496";"9497";"8613";"6860";"10202";"7640";"8120";"8503";"8889";"7487";"8219";"8352";"9199";"8610";"7317";"5958";"6539";"5406";"6101";"5455";"6111";"6666";"7809";"7048";"5531";"6749";"5307";"5127";"5262";"4646";"5484";"5061";"3344";"225";"5434450"
"22 Piauí";"90622";"109873";"87913";"84733";"84452";"100726";"95837";"101714";"101257";"94100";"7569";"6722";"8199";"7722";"7871";"7750";"7151";"8216";"6752";"6421";"6801";"5495";"6402";"6382";"6919";"6769";"6689";"7372";"6564";"6919";"6401";"6043";"6147";"5186";"6064";"5314";"6179";"5633";"6132";"6045";"5620";"5989";"5302";"5496";"5369";"4922";"5533";"4901";"5631";"5030";"5527";"5427";"5325";"5106";"5211";"5066";"4939";"4582";"4894";"4728";"4595";"5050";"4882";"4785";"4785";"4519";"5160";"4780";"4637";"4071";"4927";"4164";"5045";"4664";"4811";"4571";"4399";"4121";"4104";"4596";"4502";"3853";"4466";"3983";"4522";"4396";"4491";"4481";"3993";"4439";"4598";"4667";"4295";"3723";"4393";"3979";"4535";"4766";"4589";"4519";"4329";"4026";"4337";"4217";"4337";"3510";"4270";"4177";"3911";"4164";"4577";"3905";"4191";"3918";"4200";"4308";"4323";"3865";"4082";"4122";"4026";"4262";"4164";"4213";"4622";"4128";"4567";"4364";"3711";"3789";"4114";"4021";"4038";"4621";"4602";"3958";"3933";"4044";"4191";"3577";"3941";"3691";"4202";"3945";"4165";"3714";"3331";"3150";"3667";"2885";"3495";"3203";"3158";"2701";"4147";"3079";"3995";"3930";"4235";"3136";"3287";"3374";"3457";"3110";"3137";"2824";"3631";"3539";"3948";"4022";"4475";"3995";"3857";"3870";"4004";"4252";"4341";"3612";"4227";"3569";"4288";"4027";"4055";"4021";"4092";"4038";"3880";"4200";"4258";"3897";"3997";"3370";"3492";"3913";"3236";"3288";"3365";"3138";"3474";"4240";"3179";"3108";"3545";"2827";"3227";"3053";"3206";"3111";"3341";"3302";"3209";"3284";"3320";"2967";"2998";"2611";"2768";"2917";"2368";"326";"1882461"
"23 Ceará";"271503";"296622";"297396";"356868";"233790";"283662";"253090";"250234";"239383";"254407";"19950";"18703";"19439";"20813";"20409";"21449";"21812";"22162";"20047";"18766";"19798";"18234";"19137";"17912";"21108";"21172";"20753";"24520";"22467";"27312";"25650";"22299";"20680";"18458";"19089";"16908";"19311";"18133";"19882";"10418";"14900";"14920";"13287";"13331";"13947";"11742";"14328";"12772";"14939";"14116";"14816";"14533";"13629";"14385";"13591";"14085";"12862";"12756";"12295";"12102";"12307";"13956";"12878";"12899";"12261";"12939";"13206";"10359";"11833";"11820";"12844";"11602";"13633";"12879";"12259";"11917";"12208";"12240";"12471";"11587";"11809";"10489";"12507";"11269";"12764";"12114";"12110";"12264";"12649";"12208";"12449";"11363";"11375";"10507";"11380";"10842";"12541";"11977";"12413";"12418";"12041";"12112";"11850";"11639";"11942";"11555";"11977";"10837";"11696";"12672";"12300";"11504";"10832";"11391";"11057";"11113";"11739";"10242";"11948";"11478";"12103";"12760";"12739";"12156";"12589";"12957";"12792";"11359";"11167";"10641";"12110";"11462";"11050";"11548";"13126";"12677";"12565";"12257";"11786";"12418";"11632";"10966";"12849";"12057";"12981";"12672";"12929";"12872";"12841";"12278";"12935";"12219";"12340";"11285";"13087";"12050";"13021";"13143";"12820";"12932";"12518";"12124";"12573";"10979";"10394";"10628";"12110";"10919";"12106";"12166";"12880";"13493";"13056";"12707";"12304";"12085";"12609";"11344";"12518";"10745";"12014";"12204";"12340";"12449";"12020";"11633";"11351";"10974";"10192";"9445";"12271";"10631";"10609";"11245";"10799";"9267";"9030";"8682";"8437";"7770";"7517";"6462";"7359";"6977";"7109";"6763";"7022";"7007";"7691";"7785";"7318";"7759";"6448";"6359";"6353";"5499";"5718";"5942";"3627";"314";"5407374"
