 Morbidade Hospitalar do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";11;876;1082;1487;2195;2132;1742;794;1322;1827;2412;2866;2236;1289;330;22601
"12 Acre";110;1298;1042;726;765;1096;797;1070;828;773;715;753;673;411;94;11151
"13 Amazonas";716;3035;4579;5845;5072;4343;4654;2984;2875;1752;1798;2034;2318;1433;301;43739
"14 Roraima";-;381;299;579;873;282;436;297;466;640;879;951;1898;2870;565;11416
"15 Pará";570;6069;7342;5871;4872;3085;4519;5814;5280;5508;5428;4717;5307;4512;732;69626
"16 Amapá";292;947;658;576;630;676;677;292;488;442;223;335;264;46;34;6580
"17 Tocantins";92;1056;1088;1243;523;688;634;799;550;735;553;597;653;562;49;9822
"21 Maranhão";828;3817;2408;2329;2516;2188;2097;1984;2684;2813;3040;3424;3508;3487;855;37978
"22 Piauí";320;1497;1325;1409;913;594;521;371;1450;1672;1614;2189;1342;973;284;16474
"23 Ceará";373;7455;9007;8339;8026;8137;9073;8617;8566;9087;8134;8574;10119;6718;911;111136
"24 Rio Grande do Norte";1371;6747;7117;7742;8503;7902;8268;6900;6909;7437;6092;8172;8230;6627;890;98907
"25 Paraíba";234;9729;10247;14497;13236;13621;14895;14070;11670;8663;9506;11194;8921;4422;1492;146397
"26 Pernambuco";6118;29138;18618;23003;26817;29059;24459;16242;17236;16803;17927;18611;16182;9463;1895;271571
"27 Alagoas";57;2065;3253;3271;3636;4324;3293;2183;2655;2609;2999;3036;3625;2883;677;40566
"28 Sergipe";95;297;345;439;452;275;696;854;663;1055;969;978;1098;661;103;8980
"29 Bahia";1775;18936;23016;28565;24442;21033;21559;22562;22056;21561;22492;18049;16226;17636;4641;284549
"31 Minas Gerais";2554;21222;21281;21807;21881;19121;16241;15831;14743;14970;17366;19742;19000;14293;2651;242703
"32 Espírito Santo";224;1943;1859;1781;2458;2662;2143;1873;2172;2829;1711;1533;1693;2078;1032;27991
"33 Rio de Janeiro";1269;47009;49649;43997;50462;45892;42997;27020;44075;26118;34389;41054;38328;34368;7574;534201
"35 São Paulo";1773;44317;40952;35298;125904;124877;92458;92828;104527;96670;92080;94316;108817;90113;14196;1159126
"41 Paraná";1302;25009;20698;22337;21169;20175;16177;15830;16792;12278;15737;11913;12972;14173;2277;228839
"42 Santa Catarina";629;4635;6154;7108;6719;5298;5597;7225;8301;9598;8920;10179;10336;8171;1370;100240
"43 Rio Grande do Sul";2303;34134;28365;35366;30051;31574;17801;18582;17886;18132;25999;24360;29696;19216;2982;336447
"50 Mato Grosso do Sul";401;5254;3321;4094;3325;3246;4125;4623;4373;4850;2934;2176;4064;5430;1252;53468
"51 Mato Grosso";85;1352;805;1060;1131;1245;1777;1676;1236;1323;1302;1407;1395;1031;189;17014
"52 Goiás";870;4030;3505;3185;2733;2920;3395;2305;2524;3029;2338;2604;2733;2395;491;39057
"53 Distrito Federal";196;3519;3114;3158;2501;2937;3056;1406;3349;3289;2619;2937;3550;2938;502;39071
"Total";24568;285767;271129;285112;371805;359382;304087;275032;305676;276463;290176;298701;315184;258199;48369;3969650
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
