 Morbidade Hospitalar do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";76,34;6302,72;22078,19;10999,98;28285,64;24163,90;42227,01;30993,10;28384,98;58125,61;115182,75;92641,11;59881,24;45363,38;32609,29;597315,24
"12 Acre";2654,50;33934,63;35523,99;34203,90;37794,57;82213,80;35349,26;56167,53;63174,42;62584,78;49001,55;66599,20;55117,73;48876,41;4189,87;667386,14
"13 Amazonas";23319,00;177027,78;229299,61;692380,58;538788,74;393075,64;410172,70;246327,67;204862,93;73333,46;164288,53;138335,57;178595,55;97270,95;25420,71;3592499,42
"14 Roraima";-;8248,71;6927,23;22386,59;8928,53;6460,36;8857,01;5949,21;3899,37;12755,59;21913,71;55527,37;71274,57;48297,84;6872,54;288298,63
"15 Pará";45181,00;341201,20;586937,67;487268,90;394460,06;244432,40;328078,06;444281,85;394581,57;440515,75;426994,00;366610,76;463449,11;416119,77;58955,40;5439067,50
"16 Amapá";9655,24;8932,76;4869,76;8653,04;9784,13;9703,48;10951,45;4232,39;10900,90;6561,03;2045,40;3511,28;6685,83;2199,48;1963,73;100649,90
"17 Tocantins";3274,16;63508,70;103246,74;111572,67;54759,32;79555,42;76187,74;79689,29;67490,42;83474,15;62989,05;56635,77;63362,48;45140,65;3617,81;954504,37
"21 Maranhão";50607,59;120668,35;24503,17;97800,65;179022,94;146590,05;120168,52;125295,66;176585,02;168914,44;227002,34;250816,91;270752,72;280086,93;67230,97;2306046,26
"22 Piauí";22675,06;94573,81;122555,28;131254,47;81227,84;44901,77;35419,43;51161,56;214329,60;206811,77;232095,45;271026,20;187645,66;235483,06;57791,18;1988952,14
"23 Ceará";37809,00;1053825,80;980643,62;813400,58;710657,09;712489,36;846379,92;885619,27;803102,78;877335,02;768256,29;728010,36;965371,68;913669,69;120808,55;11217379,01
"24 Rio Grande do Norte";41114,58;485588,70;846997,41;695117,36;824466,59;772283,47;763284,45;656376,10;688803,37;741435,24;581085,50;881346,08;809364,01;710005,88;81764,06;9579032,80
"25 Paraíba";16269,47;776069,38;826823,13;1174695,79;1093523,57;1137023,51;1206312,65;1151452,47;995539,32;775519,21;820533,05;1013891,18;886966,20;534265,61;155384,34;12564268,88
"26 Pernambuco";507484,52;3135701,31;2531065,16;2978593,76;3746382,55;4270671,34;4099791,46;2953702,48;3765597,90;3198730,59;3412345,54;4058827,40;3298896,46;2255303,73;347424,39;44560518,59
"27 Alagoas";5400,98;88752,09;299296,00;426234,78;473503,78;647475,24;390445,74;231445,45;296199,16;332314,44;414311,21;383413,02;539644,07;452955,91;90951,29;5072343,16
"28 Sergipe";6608,85;20425,16;46587,63;61259,11;28413,47;15931,38;26338,03;19654,22;25830,61;30816,65;61075,48;99273,93;74993,79;47379,54;7351,42;571939,27
"29 Bahia";115964,84;1142585,24;1936113,25;2425002,81;1380023,12;384304,31;1846462,93;1903472,80;1853949,65;2270737,47;2433798,45;1765824,03;1655498,89;1899996,22;568993,50;23582727,51
"31 Minas Gerais";233192,97;2069895,84;1916901,42;2366995,75;2479751,95;2134322,95;1895689,99;1552218,42;1897726,63;2043350,63;2328249,91;2702820,55;2579293,09;2650202,22;524471,17;29375083,49
"32 Espírito Santo";12970,49;195056,44;266086,98;229571,81;571763,39;552893,27;453577,32;282677,55;268077,37;467440,17;315281,59;238567,69;272319,30;453557,04;185467,75;4765308,16
"33 Rio de Janeiro";54319,09;1983055,48;2455216,81;2998021,88;3942627,02;3492396,71;3253616,02;2017304,72;3488800,35;2061710,77;2777471,34;3608626,03;3301802,47;3071351,69;675831,95;39182152,33
"35 São Paulo";126989,74;3758718,74;3875032,48;3433532,15;11194456,27;10687233,56;8081668,39;8292425,20;9098172,10;8851460,87;8958054,92;9020105,15;10615880,94;9556673,29;1620350,46;107170754,26
