 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;65;94;128;181;173;147;99;124;138;182;198;180;126;29;1865
"12 Acre";6;112;117;81;63;77;59;70;63;66;60;77;67;55;11;984
"13 Amazonas";40;295;339;444;347;244;281;223;254;209;230;216;223;136;28;3509
"14 Roraima";-;37;27;52;54;24;36;30;38;45;78;63;138;146;32;800
"15 Pará";31;430;470;392;397;252;349;416;415;418;429;407;454;380;82;5322
"16 Amapá";11;71;47;53;65;80;53;28;36;33;18;29;31;5;5;565
"17 Tocantins";11;122;96;115;74;76;72;84;59;76;54;61;68;60;5;1033
"21 Maranhão";37;276;135;159;188;124;155;158;215;222;276;300;305;284;81;2915
"22 Piauí";34;177;171;165;106;69;61;45;105;149;115;165;122;104;23;1611
"23 Ceará";44;662;710;668;633;628;659;624;599;618;593;656;731;539;76;8440
"24 Rio Grande do Norte";64;363;377;383;414;413;415;367;355;374;299;390;402;353;50;5019
"25 Paraíba";11;561;296;384;373;387;381;439;390;351;319;340;402;280;108;5022
"26 Pernambuco";235;1729;1362;1618;1869;2018;1697;1165;1311;1260;1383;1368;1230;817;186;19248
"27 Alagoas";10;190;257;283;312;390;309;171;219;252;240;267;312;249;63;3524
"28 Sergipe";10;39;31;53;52;25;47;66;66;102;95;100;100;76;14;876
"29 Bahia";67;934;1057;1253;1210;1174;1209;1232;1207;1286;1396;1137;1015;993;256;15426
"31 Minas Gerais";149;1394;1244;1182;1203;1142;1078;977;960;1057;1138;1289;1357;1262;229;15661
"32 Espírito Santo";11;153;173;161;238;264;209;151;200;247;151;175;171;222;79;2605
"33 Rio de Janeiro";63;2420;2481;2032;1939;1688;1531;1082;1397;1220;1269;1494;1502;1397;404;21919
"35 São Paulo";151;2795;1517;1504;2507;2636;2531;2635;3155;3313;3448;3551;3582;3265;846;37436
"41 Paraná";219;1977;981;947;451;386;365;389;512;418;437;408;403;538;134;8565
"42 Santa Catarina";37;354;414;270;332;352;396;502;599;608;581;698;698;555;110;6506
"43 Rio Grande do Sul";124;1622;1105;1133;1054;1171;939;950;1067;1004;1181;1167;1314;1194;237;15262
"50 Mato Grosso do Sul";22;343;231;274;244;242;293;267;271;220;187;176;250;345;85;3450
"51 Mato Grosso";8;136;64;84;111;144;195;197;133;139;135;145;140;124;24;1779
"52 Goiás";174;787;278;337;297;278;351;204;293;320;236;317;338;299;65;4574
"53 Distrito Federal";13;188;174;175;170;210;206;119;240;224;180;204;243;200;42;2588
"Total";1583;18232;14248;14330;14884;14667;14024;12690;14283;14369;14710;15398;15778;14004;3304;196504
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
