 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Ano
Faixa Etária 1: 0 a 4 anos
Período:2008-2020
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"11 Rondônia";157101;154445;151892;149458;147144;144943;142826;140771;138798;136935;135197;133580;132095
"12 Acre";89775;89420;88960;88426;87845;87220;86554;85849;85089;84259;83368;82425;81446
"13 Amazonas";420024;418820;417019;414748;412122;409194;405980;402454;398509;394089;389272;384132;378749
"14 Roraima";54297;53903;53396;52833;52272;51728;51200;50684;50165;49630;49079;48514;47945
"15 Pará";838448;831347;823194;814180;804490;794380;783993;773411;762492;751214;739766;728275;716840
"16 Amapá";84275;83669;82889;82002;81085;80177;79310;78505;77764;77056;76379;75718;75070
"17 Tocantins";144724;142948;141037;139050;137037;135028;133055;131141;129286;127485;125747;124085;122499
"21 Maranhão";760173;753035;743677;732403;719528;705496;690776;675876;660953;646128;631676;617737;604347
"22 Piauí";303665;296465;288922;281159;273293;265505;258000;251014;244664;238949;233828;229224;225016
"23 Ceará";781383;766911;752833;739224;726141;713659;701860;690831;680505;670786;661640;653031;644888
"24 Rio Grande do Norte";287200;283000;278834;274717;270660;266710;262920;259349;256027;252960;250143;247554;245167
"25 Paraíba";345258;341344;337051;332378;327319;321975;316471;310943;305512;300286;295318;290641;286265
"26 Pernambuco";813301;799967;786467;772862;759210;745749;732712;720322;708688;697854;687786;678410;669624
"27 Alagoas";336215;329796;323146;316332;309421;302574;295934;289640;283664;277968;272540;267357;262386
"28 Sergipe";198764;194910;191254;187809;184585;181609;178904;176488;174361;172499;170864;169413;168102
"29 Bahia";1303314;1282462;1261213;1239677;1217917;1196281;1175003;1154241;1134070;1114626;1095952;1078043;1060893
"31 Minas Gerais";1532612;1506462;1481367;1457308;1434298;1412425;1391618;1371765;1352750;1334539;1317056;1300177;1283828
"32 Espírito Santo";288702;285976;283247;280533;277844;275219;272680;270237;267843;265458;263084;260718;258364
"33 Rio de Janeiro";1137134;1117133;1098619;1081641;1066224;1052291;1039689;1028195;1017525;1007396;997589;987944;978373
"35 São Paulo";3165935;3118982;3073135;3028995;2987095;2947378;2909839;2874406;2841127;2809738;2779776;2750916;2722887
"41 Paraná";830087;816284;803186;790866;779316;768412;758051;748103;738585;729485;720682;712149;703891
"42 Santa Catarina";450889;447637;445098;443152;441651;440532;439722;439113;438584;438051;437451;436755;435965
"43 Rio Grande do Sul";768131;751616;736518;722801;710420;699242;689091;679752;671105;663013;655263;647708;640270
"50 Mato Grosso do Sul";218606;217219;215715;214124;212450;210672;208767;206704;204543;202359;200173;198012;195897
"51 Mato Grosso";274731;272853;270814;268633;266324;263892;261321;258579;255724;252844;249971;247140;244387
"52 Goiás";496379;490199;484368;478880;473769;469094;464826;460912;457302;454001;451005;448263;445741
"53 Distrito Federal";203358;203017;203106;203614;204498;205671;207031;208455;209853;211170;212361;213411;214323
"Total";16284481;16049820;15816957;15587805;15363958;15147056;14938133;14737740;14545488;14360778;14182966;14011332;13845258
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
